20030619.4~9d1e72: 24358 records, 226 hits
20030619.5~2fb7b6: 9162 records, 118 hits
20030619.6~f8f828: 15474 records, 144 hits
20030619.7~4ebe34: 18727 records, 454 hits
20030620.1~4d07d5: 15085 records, 325 hits
20030620.2~3f7f1e: 5867 records, 157 hits
20030620.3~65113a: 6186 records, 156 hits
20030620.4~f9472d: 14376 records, 409 hits
20030620.5~adf38f: 13039 records, 323 hits
20030620.6~fc3b8a: 12915 records, 353 hits
20030625.2~0e98e3: 16275 records, 491 hits
20030626.1~1e89b8: 42816 records, 837 hits
20030626.2~0d9b68: 163938 records, 2770 hits
20030629.2~21a564: 42702 records, 604 hits
20030629.3~fb7a1e: 32617 records, 449 hits
20030715.1~ab18b3: 18374 records, 464 hits
20030715.2~7fc10d: 8199 records, 143 hits
20030722.1~fda26c: 8951 records, 130 hits
20030722.2: 8126 records, 111 hits
20030722.3~2c2598: 17580 records, 608 hits
20030723.1~d9e35c: 15373 records, 193 hits
20030730.1~4d1fc7: 106352 records, 2017 hits
20031213.1~0689cd: 17101 records, 129 hits
20031218.1~8d58c4: 29900 records, 470 hits
20031218.2~26399d: 28518 records, 486 hits
20031218.3~91e114: 21643 records, 305 hits
20031218.4~e74f17: 11776 records, 249 hits
20031229.1~1d8b48: 13818 records, 257 hits
20031229.2~3c0a8b: 5254 records, 84 hits
20031229.3~2a2d26: 11824 records, 170 hits
20031229.4~276e8e: 5038 records, 195 hits
20031229.5~fd9a90: 33144 records, 997 hits
20040106.1~164433: 42242 records, 587 hits
20040109.1~810358: 22563 records, 302 hits
20040115.1~1f847f: 20872 records, 922 hits
20040302.3~0fd7d0: 54855 records, 1784 hits
20040304.6~3e772e: 20130 records, 488 hits
20040315.1~98569a: 12277 records, 208 hits
20040317.1~cbc98f: 17596 records, 579 hits
20040319.3~0b0741: 2999 records, 169 hits
20040322.2~4a59f5: 175603 records, 2094 hits
20040323.1~e000a1: 27214 records, 399 hits
20040324.4~e23dd3: 89160 records, 1229 hits
20040325.1~5fd2ce: 7865 records, 237 hits
20040325.2~8f09da: 45734 records, 653 hits
20040331.1~db6d8d: 21556 records, 572 hits
20040331.3~ed9c89: 25989 records, 401 hits
20040331.4~6159f8: 22759 records, 375 hits
20040401.1~d82a03: 27521 records, 612 hits
20040421.3~043256: 54557 records, 805 hits
20040423.2~c3abe9: 25295 records, 596 hits
20040423.4~04ba45: 58339 records, 1077 hits
20040503.1~5eaa0e: 15636 records, 522 hits
20040503.2~2087a4: 30597 records, 1026 hits
20040506.1~023c85: 37708 records, 1168 hits
20040517.1~790714: 98175 records, 1405 hits
20040520.1~8efb3d: 43627 records, 612 hits
20040520.2~23468a: 15514 records, 431 hits
20040520.3~7757ff: 9144 records, 320 hits
20040525.1~8c8b18: 12478 records, 397 hits
20040601.1~77f665: 81867 records, 2415 hits
20040607.1~22c8e5: 24675 records, 691 hits
20040701.1~8ed269: 40635 records, 857 hits
20040708.1~33f4f7: 39891 records, 686 hits
20040712.1~f45d3f: 39265 records, 560 hits
20040721.1~5b4e4b: 10132 records, 122 hits
20040721.2~6f7f4c: 42729 records, 533 hits
20040726.1~d17b67: 48931 records, 1234 hits
20040726.1~48e8fb: 48146 records, 1220 hits
20040727.1~113212: 60827 records, 1557 hits
20040727.2~8a0a19: 9296 records, 300 hits
20040727.3~fa4f16: 14964 records, 502 hits
20040727.4~c346a7: 20662 records, 488 hits
20040729.1~97bd6a: 29225 records, 556 hits
20040729.2~4fc426: 37485 records, 781 hits
20040729.3~b98bb1: 57695 records, 1265 hits
20040803.1~b39f9e: 30187 records, 1014 hits
20040803.2~c5f737: 5292 records, 138 hits
20040803.3~93bf1a: 23515 records, 309 hits
20040803.4~82944d: 33855 records, 494 hits
20040804.1~f6b0d3: 9813 records, 239 hits
20040804.6~a040d3: 56176 records, 1374 hits
20040805.1~7775b2: 98422 records, 1180 hits
20040809.1~ff6341: 16265 records, 295 hits
20040809.2~8cd753: 17429 records, 275 hits
20040809.3~806401: 32908 records, 505 hits
20040811.1~eccfdb: 17191 records, 466 hits
20040811.2~aac48a: 37751 records, 1087 hits
20040812.1~a51417: 25725 records, 642 hits
20040812.2~6c40cd: 12739 records, 250 hits
20040812.3~15e189: 79567 records, 1429 hits
20040812.4~01b008: 15392 records, 351 hits
20040812.5~6cb74f: 34836 records, 646 hits
20040812.6~df25dd: 27762 records, 585 hits
20040812.7~f8638d: 7546 records, 167 hits
20040812.8~3dfcb7: 17018 records, 362 hits
20040818.1~6491b1: 8369 records, 117 hits
20040818.2~685df6: 21440 records, 356 hits
20040820.1~f26164: 18242 records, 402 hits
20040823.1~0540e2: 12610 records, 174 hits
20040823.2~628f8e: 24669 records, 290 hits
20040823.3~bc5b35: 21746 records, 344 hits
20040824.1~58d51e: 33515 records, 425 hits
20040824.2~9a0a49: 11396 records, 173 hits
20040825.1~957ff2: 33451 records, 406 hits
20040825.2~143ca6: 24674 records, 356 hits
20040825.3~56a025: 25261 records, 321 hits
20040825.4~847441: 31018 records, 460 hits
20040825.5~666214: 51074 records, 681 hits
20040827.1~87a430: 47101 records, 570 hits
20040827.10~a8e7b1: 27408 records, 422 hits
20040827.11~292c2e: 17792 records, 274 hits
20040827.12~4deda5: 35850 records, 481 hits
20040827.2~b8d9a8: 15250 records, 217 hits
20040827.3~67648b: 20702 records, 277 hits
20040827.4~09c714: 11718 records, 200 hits
20040827.5~2ca726: 7866 records, 162 hits
20040827.6~af3426: 21676 records, 284 hits
20040827.7~e903d0: 15940 records, 248 hits
20040827.8~3ab484: 7532 records, 112 hits
20040827.9~915c1f: 10736 records, 163 hits
20040830.1~0f7401: 41941 records, 916 hits
20040831.1~016180: 8275 records, 307 hits
20040907.2~aec227: 34056 records, 809 hits
20040907.3~58378c: 30394 records, 600 hits
20040910.1~f32732: 154727 records, 2325 hits
20040913.1~32c6d1: 12797 records, 220 hits
20040913.2~804be2: 20250 records, 357 hits
20040913.3~9b54c8: 16806 records, 284 hits
20040913.4~1638d7: 36082 records, 874 hits
20041014~8f7f08: 75863 records, 1776 hits
20041014.5~09d882: 6509 records, 129 hits
20041014.6~580bd6: 43019 records, 1004 hits
20041203.1~73cc06: 56606 records, 1016 hits
20041206.1~d64046: 7554 records, 117 hits
20041206.2~7b580c: 28884 records, 494 hits
20041214.2~98c964: 19819 records, 335 hits
20041214.4~f960f2: 21549 records, 379 hits
20041215.5~7212b4: 13715 records, 481 hits
20041215.6~5afbf8: 10783 records, 363 hits
20041216.1~7962d0: 11102 records, 291 hits
20041216.1~e7d715: 121695 records, 1872 hits
20041222.1~401e9d: 27422 records, 446 hits
20041222.2~5505c9: 22480 records, 351 hits
20041222.3~0b994f: 30218 records, 832 hits
20041222.4~f052f4: 10608 records, 223 hits
20041222.5~be36c2: 27600 records, 753 hits
20041222.6~cbf438: 28979 records, 701 hits
20041227.1~ee12b1: 5818 records, 100 hits
20041227.2~fd98e5: 7646 records, 152 hits
20041227.3~8bed59: 37597 records, 690 hits
20041227.4~685b50: 14671 records, 360 hits
20041227.5~9e2cd9: 13164 records, 227 hits
20041227.6~e7832d: 37382 records, 496 hits
20050107.1~602ad1: 32625 records, 860 hits
20050107.2~63cf26: 24929 records, 695 hits
20050107.3~90c524: 22883 records, 640 hits
20050112.1~068e5f: 12472 records, 264 hits
20050112.2~f57d9e: 15245 records, 317 hits
20050112.3~032e6b: 22680 records, 389 hits
20050115.8~e05c51: 13959 records, 184 hits
20050202.1~1e481f: 18438 records, 316 hits
20050202.2~566f58: 11210 records, 205 hits
20050202.3~9665c1: 12440 records, 212 hits
20050301.1~124313: 70690 records, 1213 hits
20050307.1~99ee43: 10993 records, 173 hits
20050307.2~0f5942: 14292 records, 196 hits
20050307.3~44435e: 31129 records, 537 hits
20050307.4~f4ca9f: 21474 records, 230 hits
20050307.5~5fe31e: 22786 records, 234 hits
20050308.1~33d432: 21697 records, 333 hits
20050308.2~a4c879: 17065 records, 297 hits
20050308.3~cd395c: 19982 records, 312 hits
20050308.4~6e9db5: 8723 records, 71 hits
20050308.5~ab4f8f: 27687 records, 246 hits
20050310.1~7b351b: 18003 records, 549 hits
20050311.1~658cc9: 61214 records, 994 hits
20050311.2~190e4d: 9402 records, 234 hits
20050311.3~dc6fc9: 11347 records, 242 hits
20050311.4~ec4128: 29089 records, 482 hits
20050314.1~12ef65: 12587 records, 294 hits
20050314.2~98e521: 10942 records, 291 hits
20050316.1~31ebe8: 30769 records, 398 hits
20050316.3~fae0e6: 21735 records, 382 hits
20050317.1~258e85: 20337 records, 676 hits
20050528.1~9cd85a: 29951 records, 508 hits
20050528.2~1e41cd: 43908 records, 759 hits
20050528.3~d58059: 16302 records, 258 hits
20010131.4: 49363 records, 1366 hits
20010330~b7f48c: 38428 records, 699 hits
20010409~94207f: 20483 records, 909 hits
20010512~373880: 15490 records, 428 hits
20020306.1: 10713 records, 191 hits
20020730.1: 91579 records, 3702 hits
20020912.6~6ec88c: 30051 records, 1019 hits
20020919.1: 74232 records, 1376 hits
20021007.2: 57800 records, 1070 hits
20021009.1~91314b: 32966 records, 1083 hits
20021018.2: 120840 records, 3879 hits
20001211~dff670: 15735 records, 108 hits
20001211~a25391: 17253 records, 114 hits
20001211~87b426: 17738 records, 107 hits
20010107~ff03a4: 24500 records, 310 hits
20010108~7ff712: 10907 records, 235 hits
20010108~ca5623: 3500 records, 74 hits
20010108~8dd6e3: 47207 records, 788 hits
20010116~00a3db: 10969 records, 342 hits
20010116~f365ef: 29545 records, 1310 hits
20010117~07b9d6: 19157 records, 733 hits
20010117~94107f: 39650 records, 1423 hits
20010117~16bc3c: 9577 records, 299 hits
20010117~0b3e38: 17704 records, 767 hits
20010117~d60497: 33094 records, 1396 hits
20010117~95b8f0: 103896 records, 2930 hits
20010127~e3d7a8: 18055 records, 813 hits
20010127~a7211b: 8625 records, 311 hits
20010128~7f40aa: 52679 records, 305 hits
20010129~f71b60: 75172 records, 566 hits
20010129~a975ce: 10352 records, 228 hits
20010131~a6732f: 24162 records, 691 hits
20010131~c28339: 24989 records, 618 hits
20010131~b1542b: 39957 records, 294 hits
20010131~4f9514: 14328 records, 122 hits
20010203~0621fb: 13229 records, 454 hits
20010203~7fe97a: 12647 records, 387 hits
20010203~e7a0a3: 25834 records, 900 hits
20010203~ccee15: 46386 records, 1539 hits
20010205~d40fe2: 16547 records, 335 hits
20010205~930375: 21753 records, 207 hits
20010211~d207df: 3065 records, 76 hits
20010211~b8dd3c: 21584 records, 445 hits
20010211~f4a7b1: 13500 records, 357 hits
20010212~218ae4: 4473 records, 167 hits
20010212~2725cb: 23286 records, 512 hits
20010213~a57d6b: 7237 records, 292 hits
20010213~5d7548: 7535 records, 224 hits
20010213~8c9171: 11709 records, 561 hits
20010213~21363f: 1374 records, 48 hits
20010213~22c22e: 7371 records, 364 hits
20010213~685327: 1670 records, 61 hits
20010213~4985da: 15604 records, 480 hits
20010303~d008cc: 5544 records, 226 hits
20010303~2643e9: 17686 records, 412 hits
20010303~ef6348: 6693 records, 139 hits
20010303~ad9a8e: 16317 records, 340 hits
20010303~df81fb: 10975 records, 236 hits
20010303~b4a2e2: 26952 records, 492 hits
20010303~812977: 11592 records, 435 hits
20010303~4f7d56: 11731 records, 524 hits
20010303~8792df: 14493 records, 335 hits
20010303~e06af9: 19536 records, 184 hits
20010304~a26ac3: 8838 records, 336 hits
20010304~4c89f2: 11164 records, 405 hits
20010304~6ad307: 2640 records, 144 hits
20010304~1c2a43: 13651 records, 359 hits
20010304~d7f24d: 37149 records, 210 hits
20010305~03741d: 19285 records, 324 hits
20010305~39e985: 14198 records, 357 hits
20010305~d9ae18: 9103 records, 259 hits
20010305~636a17: 25342 records, 285 hits
20010305~106115: 12546 records, 455 hits
20010305~8770a9: 31705 records, 1087 hits
20010305~459af1: 7029 records, 102 hits
20010305~f948f5: 25842 records, 380 hits
20010305~28e018: 12421 records, 417 hits
20010305~5a5889: 11271 records, 307 hits
20010306~c4c704: 18510 records, 208 hits
20010309~ee73b3: 4032 records, 121 hits
20010309~7ce9d6: 6750 records, 274 hits
20010309~cc8f2a: 14443 records, 220 hits
20010309~9f4410: 2589 records, 114 hits
20010309~12f1b0: 6964 records, 425 hits
20010310~a3f603: 14381 records, 457 hits
20010310~2a71a0: 36294 records, 352 hits
20010310~5394bb: 28265 records, 203 hits
20010311~b3e30c: 15216 records, 212 hits
20010312~572a7c: 21265 records, 450 hits
20010312~b19e9a: 12123 records, 287 hits
20010312~e749a7: 26064 records, 573 hits
20010312~4f5a5c: 25092 records, 686 hits
20010312~c3b021: 18524 records, 539 hits
20010312~0f096d: 9156 records, 221 hits
20010312~97e553: 9855 records, 345 hits
20010314~a2da61: 46723 records, 765 hits
20010314~d65e93: 17873 records, 446 hits
20010314~8d2503: 9364 records, 172 hits
20010316~6c567f: 54016 records, 955 hits
20010316~804522: 18298 records, 638 hits
20010316~146a36: 14526 records, 330 hits
20010316~ba883a: 41925 records, 1063 hits
20010316~d79bc0: 3720 records, 100 hits
20010316~da0e55: 10894 records, 165 hits
20010319~9c7e86: 20200 records, 171 hits
20010319~11f90e: 10153 records, 364 hits
20010319~19797b: 18874 records, 174 hits
20010320~96df78: 26859 records, 495 hits
20010320~a21795: 6151 records, 109 hits
20010320~b9e403: 21779 records, 1133 hits
20010320~e08e19: 27924 records, 785 hits
20010322~a5cafd: 11440 records, 322 hits
20010322~2b735e: 10881 records, 274 hits
20010323~1ded72: 23834 records, 797 hits
20010324~6e626a: 6321 records, 170 hits
20010324~7804ac: 3623 records, 146 hits
20010324~c7ba76: 5952 records, 102 hits
20010324~693860: 2065 records, 82 hits
20010327~fe7a93: 12120 records, 399 hits
20010327~3ea6f7: 3071 records, 157 hits
20010328~42a7c2: 6656 records, 132 hits
20010330~1cd016: 23041 records, 162 hits
20010401~ad20f0: 27617 records, 411 hits
20010401~fdf14c: 13919 records, 466 hits
20010402~1ee452: 34682 records, 323 hits
20010403~0e00c8: 1224 records, 42 hits
20010406~3a153d: 9093 records, 369 hits
20010406~ab42d9: 10497 records, 362 hits
20010406~cada6c: 93482 records, 2824 hits
20010407~aff3b9: 14294 records, 302 hits
20010409~6b4f35: 4105 records, 133 hits
20010410~4f2e67: 14807 records, 314 hits
20010410~e0f9a1: 11921 records, 262 hits
20010411~6c09da: 18184 records, 429 hits
20010411~a2eefc: 15760 records, 321 hits
20010411~18f31f: 13920 records, 132 hits
20010411~d8b739: 15522 records, 345 hits
20010411~2ea0ee: 14368 records, 398 hits
20010411~fdc1e9: 12711 records, 233 hits
20010411~0cd28d: 2783 records, 103 hits
20010413~56ac94: 14355 records, 469 hits
20010413~b9fcb2: 5251 records, 217 hits
20010417~74b73f: 6494 records, 89 hits
20010417~f32ef6: 2751 records, 165 hits
20010418~931969: 8384 records, 212 hits
20010418~e586ce: 25940 records, 671 hits
20010418~3b3b60: 3685 records, 88 hits
20010418~629042: 18223 records, 189 hits
20010418~b30c0f: 12447 records, 130 hits
20010419~fddd65: 13758 records, 161 hits
20010420~ed546e: 17677 records, 451 hits
20010422~497501: 16008 records, 281 hits
20010422~1dc72e: 24793 records, 336 hits
20010422~fd40ef: 4216 records, 97 hits
20010427~5cb1a6: 11702 records, 400 hits
