102102.2~86c810: 18287 records, 10.3 min, game type 3, 4 names
102102.3~8e5680: 7485 records, 7.7 min, game type 3, 4 names
102102.4~b04242: 28869 records, 23.2 min, game type 3, 4 names
102102.5~401d41: 5139 records, 7.4 min, game type 3, 4 names
102102.6~e5a40f: 13669 records, 12.1 min, game type 3, 4 names
102102.7~aa6e3d: 13551 records, 11.8 min, game type 3, 4 names
102102.8~f455c5: 9869 records, 8.5 min, game type 3, 4 names
102102.9~619485: 25083 records, 22.2 min, game type 3, 4 names
102202.1: 28572 records, 21.0 min, game type 3, 4 names
102202.2~0ccf92: 144198 records, 99.1 min, game type 3, 4 names
102302.1: 32661 records, 39.5 min, game type 3, 4 names
102302.2: 10880 records, 26.6 min, game type 3, 4 names
102402.1: 8036 records, 7.2 min, game type 3, 4 names
102402.2: 29547 records, 21.8 min, game type 3, 4 names
102402.3: 17981 records, 20.4 min, game type 3, 8 names
102602.1: 25121 records, 34.7 min, game type 3, 5 names
102902.1: 9246 records, 11.1 min, game type 3, 4 names
102902.2: 27099 records, 28.7 min, game type 3, 4 names
103002.1~307155: 11391 records, 17.5 min, game type 3, 4 names
103002.2~afd8d2: 15764 records, 27.0 min, game type 3, 4 names
103002.3~b1f7c6: 21191 records, 31.2 min, game type 3, 4 names
103002.4~f6a76d: 7204 records, 11.5 min, game type 3, 4 names
103002.5~591baa: 11071 records, 19.1 min, game type 3, 4 names
103002.6~fb1834: 35388 records, 53.1 min, game type 3, 4 names
110102.1~76fb58: 6959 records, 8.0 min, game type 3, 4 names
110102.2~f1e706: 30620 records, 21.8 min, game type 3, 4 names
110102.3~303dbd: 24321 records, 25.4 min, game type 3, 4 names
110202.1~df07a5: 8851 records, 11.3 min, game type 3, 4 names
110202.3~c08252: 17762 records, 23.8 min, game type 3, 4 names
110202.4~7731a4: 22630 records, 23.3 min, game type 3, 4 names
110502.1~5332fe: 24454 records, 35.0 min, game type 3, 4 names
110602.1~c77802: 2281 records, 3.7 min, game type 3, 4 names
110702.1~031855: 80144 records, 80.8 min, game type 3, 3 names
110802.1~75417c: 56537 records, 47.2 min, game type 3, 4 names
110802.2~efe6f8: 7654 records, 5.1 min, game type 3, 4 names
110802.3: 39424 records, 29.8 min, game type 3, 6 names
110802.4~06bd38: 11019 records, 10.4 min, game type 3, 4 names
110802.5~17b598: 24980 records, 27.8 min, game type 3, 4 names
